title,authors,year,venue,dataset,population,modalities,method,evaluation,main_findings,limitations,meyro_relevance,source_verification
"Anomaly detection: A survey","Chandola, V.; Banerjee, A.; Kumar, V.",2009,"ACM Computing Surveys 41(3), Article 15; DOI 10.1145/1541880.1541882","N/A (survey)","N/A","N/A (general)","Survey; taxonomy of anomalies as point/contextual/collective and detection as supervised/semi-supervised/unsupervised","N/A (survey)","Canonical taxonomy of anomaly detection; names the standing difficulties of label rarity, noise, an ill-defined normal/abnormal boundary, and a normal that changes over time","Pre-dates modern deep and personalized methods; contains no empirical comparison of reference frames","Supplies MEYRO's vocabulary for anomaly types and the label-rarity motivation; frames personalization as a reference-frame choice rather than a new algorithm","Title, authors, year, venue and DOI confirmed via ACM Digital Library record and author-hosted PDF"
"Isolation Forest","Liu, F.T.; Ting, K.M.; Zhou, Z.-H.",2008,"IEEE ICDM 2008, pp. 413-422; DOI 10.1109/ICDM.2008.17","Benchmark datasets (specific datasets not verified in this pass)","Not verified","Tabular / multivariate feature vectors","Ensemble of random isolation trees; anomaly score derived from expected path length; isolates anomalies instead of profiling normal points","AUROC on benchmark datasets (details not verified in this pass)","Sub-sampling plus isolation yields high detection accuracy, low memory cost and linear time complexity; anomalies are few and distinct and are therefore isolated early","Detects globally unusual points; has no temporal or personal reference frame; per-subject behaviour is not modelled","Mandatory non-neural comparator for Phase 8 and for the Phase 26 ablation; a temporal model that cannot beat it is not contributing","Title, authors, year, venue, pages and DOI confirmed via IEEE Xplore, ACM DL and an author-hosted PDF"
"LSTM-based Encoder-Decoder for Multi-sensor Anomaly Detection","Malhotra, P.; Ramakrishnan, A.; Anand, G.; Vig, L.; Agarwal, P.; Shroff, G.",2016,"arXiv:1607.00148","ECG and multi-sensor time series (per abstract)","Not applicable","Univariate and multivariate time series","Stacked LSTM encoder-decoder (EncDec-AD) trained on normal data only; anomaly score is reconstruction error","Precision/recall against labelled anomalies","EncDec-AD is robust across predictable, unpredictable, periodic, aperiodic and quasi-periodic series and detects anomalies from windows as short as 30 steps","Trained per-series with no explicit personalization mechanism; no false-positive-rate analysis; no population-baseline comparison","Template for MEYRO's Phase 9 temporal reconstruction models and for the reconstruction-error deviation score","Title, authors, year and arXiv identifier confirmed via arXiv entry 1607.00148; full author list confirmed at abstract level"
"TS2Vec: Towards Universal Representation of Time Series","Yue, Z.; Wang, Y.; Duan, J.; Yang, T.; Huang, C.; Tong, Y.; Xu, B.",2022,"AAAI-22; arXiv:2106.10466","UCR/UEA archives and additional classification, forecasting and anomaly benchmarks (details not verified)","Not applicable","Univariate and multivariate time series","Hierarchical contrastive learning over augmented context views producing timestamp-level representations","Linear probe and fine-tuning across classification, forecasting and anomaly detection","Learns universal representations usable across tasks, at timestamp-level granularity, outperforming prior representation-learning methods","Pretraining objective is generic and population-level; no per-subject personalization objective; the paper itself does not study health signals","Central Phase 12 reference and a fair comparator for the question of whether self-supervision helps a personal baseline at all","Title, authors, year, venue and arXiv identifier confirmed via AAAI proceedings and the official implementation repository"
"Selective review of offline change point detection methods","Truong, C.; Oudre, L.; Vayatis, N.",2020,"Signal Processing 167:107299 (also arXiv:1801.00718)","N/A (review of 140+ articles)","N/A","Multivariate time series","Review organising offline change point detection into a cost function, a search method and a constraint","N/A (review); includes a controlled empirical comparison framework","Provides the standard formalisation of change point detection and a structured, didactic review of the literature","Offline/batch orientation; presumes a well-specified cost model; not personalization-aware","Grounds MEYRO's operational definitions of deviation onset and detection delay, and legitimises the distributional-shift-proxy labelling option","Title, authors, year, journal, volume, article number and arXiv identifier confirmed via ScienceDirect, HAL and arXiv"
"Simple and Scalable Predictive Uncertainty Estimation using Deep Ensembles","Lakshminarayanan, B.; Pritzel, A.; Blundell, C.",2017,"NeurIPS 2017; arXiv:1612.01474","Regression and classification benchmarks (details not verified)","Not applicable","N/A (general machine learning)","Ensembles of neural networks trained with adversarial perturbation and proper scoring rules","Negative log-likelihood, calibration, out-of-distribution detection","Simple non-Bayesian ensembling produces well-calibrated predictive uncertainty competitive with Bayesian neural networks, with far less implementation and tuning burden","Multiplies training cost by ensemble size; calibration is not evaluated for longitudinal personal signals","Backbone of Phase 13 uncertainty and of the calibration reporting required in Phase 11 and Phase 33 figure 6","Title, authors, year and venue confirmed via NeurIPS proceedings page and arXiv 1612.01474"
"A survey on concept drift adaptation","Gama, J.; Zliobaite, I.; Bifet, A.; Pechenizkiy, M.; Bouchachia, A.",2014,"ACM Computing Surveys 46(4); DOI 10.1145/2523813","N/A (survey)","N/A","Streaming data","Taxonomy of drift types (sudden, gradual, incremental, recurring) and of adaptation strategies: windowing, instance weighting, ensembles, explicit drift detectors","N/A (survey)","Concept drift mainly concerns supervised online learning where the relation between inputs and target changes; adaptation is presented as both necessary and hazardous","Framed over P(X,y); MEYRO's setting is unsupervised with no label stream, so drift semantics must be adapted","Directly underpins the adaptation/detection conflict in the problem definition and the design of the Phase 10 adaptive baseline","Title, authors, year, venue and DOI confirmed via ACM Digital Library and an author-hosted PDF"
"The digital phenotype","Jain, S.H.; Brownstein, J.S.",2015,"Nature Biotechnology","N/A","N/A","Conceptual","Introduces and frames the term digital phenotype","N/A","Coined the framing of device-derived behavioural traces as a phenotype observable at individual scale","Conceptual piece; no method, data or evaluation; full author list not verified in this pass","Origin reference for MEYRO's field placement and for the individual-scale framing","Term attributed to Jain and Brownstein in Nature Biotechnology 2015 per an encyclopaedic source; volume, pages and the complete author list NOT verified"
"StudentLife: Assessing Mental Health, Academic Performance and Behavioral Trends of College Students using Smartphones","Wang, R.; et al.",2014,"UbiComp 2014","StudentLife","48 Dartmouth students over a 10-week academic term","Smartphone sensing: accelerometer, GPS, microphone-derived audio features, call and SMS logs, screen state, light; plus EMA self-reports","Continuous passive sensing study with ecological momentary assessment and machine-learning inference","Correlations of passive sensing features with PHQ-9 depression scores, stress measures and GPA","Passive smartphone sensing correlates with mental-health and academic outcomes and yields continuous behavioural measures at individual scale","10-week window; small cohort; correlational, not causal; features are hand-crafted","Key longitudinal passive-sensing precedent; supports RQ-S3 (how much history is needed) and RQ-S4 (per-individual heterogeneity)","Title, first author, year, venue and cohort size confirmed via the official study PDF and secondary listings"
"Introducing WESAD, a Multimodal Dataset for Wearable Stress and Affect Detection","Schmidt, P.; Reiss, A.; Duerichen, R.; Marberger, C.; Van Laerhoven, K.",2018,"ICMI 2018; dataset hosted at UCI Machine Learning Repository (id 465)","WESAD","15 subjects in a controlled laboratory study","Chest and wrist devices: ECG, EDA, EMG, respiration, skin temperature, accelerometer, BVP, heart rate","Dataset paper with baseline stress and affect classification benchmarks","Accuracy and F1 for stress and affect detection","Public multimodal benchmark that bridges a gap in wearable stress and affect detection data","Single controlled lab session per subject; 15 subjects; not longitudinal across days","Candidate physiology/stress data source for Phase 3, but NOT sufficient alone for personalized longitudinal baselines because per-subject history is one session","Title, authors, year, venue, subject count and repository id confirmed via UCI dataset 465, the ACM/Semantic Scholar record and the dataset paper"
"Introducing a New Benchmarked Dataset for Activity Monitoring","Reiss, A.; Stricker, D.",2012,"ISWC 2012; dataset hosted at UCI Machine Learning Repository (PAMAP2)","PAMAP2","9 subjects in the main protocol (an additional optional protocol exists)","3 IMUs plus heart-rate monitor: accelerometer, gyroscope, magnetometer, temperature, heart rate","Dataset paper with benchmark activity classification","Accuracy and F1 across 18 activity classes","Standard benchmark for physical activity monitoring with rich inertial and heart-rate signals","Protocol-driven scripted activities; roughly one collection session per subject; no multi-month longitudinal depth","Candidate activity/IMU source for Phase 3; useful for Phase 27 robustness but weak for long-horizon personal baselining","Title, authors, year, venue, subject count and activity count confirmed via UCI repository page and Semantic Scholar record"
"Smart Devices are Different: Assessing and Mitigating Mobile Sensing Heterogeneities for Activity Recognition","Stisen, A.; et al.",2015,"SenSys 2015; dataset hosted at UCI Machine Learning Repository (id 344)","HHAR","9 users with 8 smartphones and 4 smartwatches","Accelerometer and gyroscope","Dataset paper quantifying device heterogeneity in mobile sensing and evaluating mitigation strategies for activity recognition","Accuracy across devices and models","Demonstrates that sensor and sampling heterogeneity across devices materially degrades activity recognition and characterises mitigation approaches","Short collection periods with scripted activities; small user count","Directly supports MEYRO's required robustness axis for device and sampling-rate differences in Phase 27","First author, year and study identity confirmed via the UCI dataset 344 page and a third-party citation; full author list and exact title pagination NOT verified"
"Harnessing Smartphone-Based Digital Phenotyping to Enhance Behavioral and Mental Health","Onnela, J.-P.; Rauch, S.L.",2016,"Neuropsychopharmacology (PMC4869063)","N/A (commentary/review)","Psychiatric and general smartphone cohorts","Smartphone passive sensing: location, activity, communication and social signals","Conceptual overview of smartphone-based digital phenotyping","N/A","Argues that smartphone sensing enables continuous behavioural measurement at the scale of the individual and connects it to mental-health research","Conceptual; gives limited methodological guidance on baseline construction or evaluation","Motivates the longitudinal individual-level framing and warns that passive signals are rich but noisy","Title, authors, year, venue and PMC identifier confirmed via PubMed Central record"
"Anomaly Detection Framework for Wearables Data: A Perspective Review on Data Types, Machine Learning, and Implementation","Sunny, J.S.; et al.",2022,"Sensors 22(3):756 (MDPI)","Reviews multiple wearable datasets","Mixed clinical and general populations","Accelerometer, ECG/PPG, temperature and others","Perspective review of wearable anomaly-detection data types, machine-learning methods and implementation considerations","Survey of metrics reported across cited works","Catalogues wearable anomaly-detection methods and notes the gap between wearable data volume and clinically meaningful anomaly detection","Review-level synthesis; evaluation protocols are heterogeneous across the cited works and are not harmonised","Establishes the applied context and evidences the evaluation-protocol heterogeneity that motivates gap component G1","Title, first author, year, journal, volume, issue and article number confirmed via MDPI and PubMed Central records"
"Leveraging Machine Learning for Personalized Wearable Biomedical Devices: A Review","Olyanasab, A.; Annabestani, M.",2024,"PMC10890129 (journal and volume not verified in this pass)","Reviews multiple wearable datasets","Mixed","Wearable physiological signals","Review of artificial-intelligence methods for personalizing wearable biomedical devices","Survey of reported metrics across cited works","Frames personalization as a central design goal for wearable health AI and surveys the methods applied to achieve it","Venue and full bibliographic record unverified here; review-level evidence only","Supports the motivation that personalization is widely pursued, which is exactly why the fairness of its comparison against population baselines must be tested rather than assumed","Title, authors and year confirmed via PubMed Central record PMC10890129; journal, volume and pages NOT verified"
"Development of a Personalized Anomaly Detection Model to mitigate motion artifacts","Valerio, A.; et al.",2024,"Institutional repository (University College Cork)","Not verified","Wearable device users","Wearable motion signals","Personalized anomaly-detection model targeting motion artifacts in wearable data","Reported detection performance","Builds a high-performing personalized anomaly-detection model for identifying motion artifacts in wearable device data","Scoped to signal-quality and artifact detection rather than deviation from a personal physiological norm; full text not read","Related but distinct: MEYRO must clearly separate signal-quality artifact detection from deviation-from-personal-baseline detection","First author, year, topic and repository confirmed via institutional repository PDF listing; venue and full metadata NOT verified"
"A Four-Year Mobile Sensing Study of Mental Health (title truncated in source)","Nepal, S.; et al.",2024,"ACM; DOI 10.1145/3643501","Dartmouth four-year cohort mobile sensing study","Two cohorts of first-year students tracked across four years","Mobile phone sensing","Longitudinal mobile sensing study with association analyses","Association analyses across four years","Described as the longest longitudinal mobile sensing study to date, tracking two cohorts of first-year students for four years","Observational design; reliance on self-report instruments; title could not be fully verified in this pass","Strongest available evidence that multi-year per-subject sensing is feasible; directly relevant to RQ-S3 (history length)","First author, year, DOI and study design confirmed via ACM Digital Library and PubMed Central records; full title truncated in sources consulted"
"AI on the Pulse: Real-Time Health Anomaly Detection with wearable sensors","Gabrielli, D.; et al.",2025,"arXiv:2508.03436","Wearable sensor data (details not verified)","Patients monitored with fused wearable sensors","Fused wearable sensor streams","Real-time anomaly detection system fusing wearable sensors","Reported detection performance (details not verified)","Presents a real-world-ready wearable anomaly-detection system for continuous patient monitoring","Full text not read in this pass; evaluation protocol and baseline comparisons not verified","Represents the current applied state of the art that MEYRO must position itself against","Title, first author, year and arXiv identifier confirmed via arXiv listing 2508.03436"
"Personalized Baseline Modeling Using Machine Learning to Detect Anomalies in Longitudinal Wearable Sensor Data","Authors not verified in this pass",2025,"ResearchGate record (venue not verified)","Longitudinal wearable sensor data","Not verified","Wearable sensor signals","LSTM autoencoder-based personalized baseline modeling framework for anomaly detection","Not verified","Proposes a personalized baseline modeling framework for anomaly detection in longitudinal wearable sensor data","Full text not obtained; the most direct overlap with MEYRO's stated idea and therefore the most important source to read","DIRECT NOVELTY THREAT: uses both key terms of MEYRO's framing. MEYRO cannot claim the concept; its contribution must rest on the controlled comparison","Title, year and abstract snippet only. Venue, authors and evaluation NOT verified. MUST be obtained in full before Phase 11"
"Adaptive Baseline Modeling for Personalized monitoring","Authors not verified in this pass",2026,"Zenodo record 20509774 (venue not verified)","Physiological signals","Not verified","Physiological signals","Adaptive baseline modelling with anomaly detection for personalized monitoring","Not verified","Explores a personalized monitoring framework based on adaptive baseline modelling and anomaly detection","Full text not obtained; recency means independent verification is limited","Overlaps Phase 10 (adaptive personal baseline) directly; must be read before any adaptive-baselining claim","Title, year and record identifier only, via Zenodo record 20509774. Authors, venue and evaluation NOT verified"
"Sleep-EDF Database Expanded v1.0.0","Kemp, B.; et al.",2018,"PhysioNet; Open Data Commons Attribution License v1.0","Sleep-EDF Expanded","197 whole-night polysomnographic recordings (including healthy subjects and subjects with mild difficulty falling asleep)","EEG, EOG, chin EMG and event markers","Reference dataset for sleep staging and longitudinal sleep analysis","N/A (dataset)","Well-established open-access collection of whole-night sleep recordings with expert annotations","Per-subject coverage is a small number of nights; not years of continuous data","Candidate sleep-modality source for Phase 3 and Phase 15; requires care because longitudinal depth is per-night rather than continuous","Version, licence, content and recording count confirmed via PhysioNet sleep-edfx 1.0.0 and the PhysioNet licence page"
